,Link,Code,For_rent_sale,Price,Area,Floor,Rooms,Dates
2889,https://akcern.am/en/property/11719,Code - 40163,For rent,"1,700 USD",'Total area 143 m 2','Floor 4','Count of rooms 4',25.03.2021
2890,https://akcern.am/en/property/13839,Code - 20142,For rent,500 USD,'Total area 81 m 2','Floor 4','Count of rooms 2',25.03.2021
2891,https://akcern.am/en/property/11716,Code - 360011,For sale,"89,000 USD",'Total area 88 m 2','Floor 3','Count of rooms 3',24.03.2021
2892,https://akcern.am/en/property/9891,Code - 458958,For sale,"150,000 USD",'Total area 215 m 2','Floor 5','Count of rooms 4',24.03.2021
2893,https://akcern.am/en/property/9890,Code - 458957,For sale,"130,000 USD",'Total area 199 m 2','Floor 5','Count of rooms 4',24.03.2021
2894,https://akcern.am/en/property/117,Code - 80032,For rent,"1,000 USD",'Total area 199 m 2','Floor ','Count of rooms 5',24.03.2021
2895,https://akcern.am/en/property/10727,Code - 459282,For sale,"250,000 USD",'Total area 163 m 2','Floor 6','Count of rooms 4',24.03.2021
2896,https://akcern.am/en/property/7540,Code - 80453,For sale,"650,000 USD",'Total area 175 m 2','Floor 4','Count of rooms 3',24.03.2021
2897,https://akcern.am/en/property/7539,Code - 80452,For sale,"650,000 USD",'Total area 175 m 2','Floor 4','Count of rooms 3',24.03.2021
2898,https://akcern.am/en/property/6981,Code - 80447,For sale,"100,000 USD",'Total area 142 m 2','Floor 5','Count of rooms 2',24.03.2021
2899,https://akcern.am/en/property/6757,Code - 80441,For sale,"60,000 USD",'Total area 73 m 2','Floor ','Count of rooms 3',24.03.2021
2900,https://akcern.am/en/property/6050,Code - 80427,For sale,"158,000 USD",'Total area 103 m 2','Floor 2','Count of rooms 3',24.03.2021
2901,https://akcern.am/en/property/5593,Code - 80411,For sale,"82,000 USD",'Total area 102 m 2','Floor 1','Count of rooms 3',24.03.2021
2902,https://akcern.am/en/property/11698,Code - 80410,For sale,"70,000 USD",'Total area 108 m 2','Floor 3','Count of rooms 3',24.03.2021
2903,https://akcern.am/en/property/5766,Code - 80381,For sale,"160,000 USD",'Total area 170 m 2','Floor 3','Count of rooms 5',24.03.2021
2904,https://akcern.am/en/property/3852,Code - 80355,For sale,"95,000 USD",'Total area 178 m 2','Floor ','Count of rooms 3',24.03.2021
2905,https://akcern.am/en/property/3371,Code - 80343,For sale,"270,000 USD",'Total area 180 m 2','Floor ','Count of rooms 5',24.03.2021
2906,https://akcern.am/en/property/3282,Code - 80338,For sale,"160,000 USD",'Total area 103 m 2','Floor 4','Count of rooms 4',24.03.2021
2907,https://akcern.am/en/property/1549,Code - 80317,For sale,"62,000 USD",'Total area 93 m 2','Floor 9','Count of rooms 2',24.03.2021
2908,https://akcern.am/en/property/2704,Code - 80294,For sale,"95,000 USD",'Total area 127 m 2','Floor 5','Count of rooms 3',24.03.2021
2909,https://akcern.am/en/property/11694,Code - 80289,For sale,"50,000 USD",'Total area 138 m 2','Floor ','Count of rooms 3',24.03.2021
2910,https://akcern.am/en/property/2467,Code - 80260,For sale,"62,000 USD",'Total area 90 m 2','Floor 3','Count of rooms 4',24.03.2021
2911,https://akcern.am/en/property/11695,Code - 30511,For rent,500 USD,'Total area 87 m 2','Floor 4','Count of rooms 3',24.03.2021
2912,https://akcern.am/en/property/1442,Code - 80162,For sale,"185,000 USD",'Total area 204 m 2','Floor ','Count of rooms 5',24.03.2021
2913,https://akcern.am/en/property/7542,Code - 80122,For rent,"2,700 USD",'Total area 175 m 2','Floor 4','Count of rooms 3',24.03.2021
2914,https://akcern.am/en/property/7541,Code - 80121,For rent,"2,700 USD",'Total area 175 m 2','Floor 4','Count of rooms 3',24.03.2021
2915,https://akcern.am/en/property/6551,Code - 80116,For rent,200 USD,'Total area 93 m 2','Floor 9','Count of rooms 2',24.03.2021
2916,https://akcern.am/en/property/10563,Code - 80101,For rent,"3,000 USD",'Total area 300 m 2','Floor 21','Count of rooms 5',24.03.2021
2917,https://akcern.am/en/property/4289,Code - 80089,For rent,"2,500 USD",'Total area 150 m 2','Floor 1','Count of rooms 3',24.03.2021
2918,https://akcern.am/en/property/10680,Code - 80081,For rent,330 USD,'Total area 115 m 2','Floor 1','Count of rooms 3',24.03.2021
2919,https://akcern.am/en/property/2531,Code - 80065,For rent,600 USD,'Total area 54 m 2','Floor ','Count of rooms 3',24.03.2021
2920,https://akcern.am/en/property/2468,Code - 80062,For rent,300 USD,'Total area 90 m 2','Floor 3','Count of rooms 4',24.03.2021
2921,https://akcern.am/en/property/2220,Code - 80056,For rent,"1,500 USD",'Total area 80 m 2','Floor ','Count of rooms 3',24.03.2021
2922,https://akcern.am/en/property/11524,Code - 80034,For sale,"850,000 USD",'Total area 261 m 2','Floor 16','Count of rooms 6',24.03.2021
2923,https://akcern.am/en/property/11525,Code - 80032,For sale,"440,000 USD",'Total area 360 m 2','Floor ','Count of rooms 4',24.03.2021
2924,https://akcern.am/en/property/865,Code - 80023,For sale,"122,000 USD",'Total area 122 m 2','Floor 5','Count of rooms 4',24.03.2021
2925,https://akcern.am/en/property/10484,Code - 80013,For rent,"1,300 USD",'Total area 190 m 2','Floor 4','Count of rooms 4',24.03.2021
2926,https://akcern.am/en/property/686,Code - 80011,For sale,"120,000 USD",'Total area 189 m 2','Floor ','Count of rooms 5',24.03.2021
2927,https://akcern.am/en/property/11650,Code - 459998,For sale,"52,000 USD",'Total area 90 m 2','Floor 9','Count of rooms 4',24.03.2021
2928,https://akcern.am/en/property/8792,Code - 33141,For sale,"115,000 USD",'Total area 95 m 2','Floor 4','Count of rooms 3',24.03.2021
2929,https://akcern.am/en/property/4398,Code - 22496,For sale,"65,000 USD",'Total area 62 m 2','Floor 3','Count of rooms 2',24.03.2021
2930,https://akcern.am/en/property/5358,Code - 40152,For rent,"1,000 USD",'Total area 137 m 2','Floor 2','Count of rooms 4',24.03.2021
2931,https://akcern.am/en/property/13858,Code - 40074,For rent,"2,000 USD",'Total area 127 m 2','Floor 6','Count of rooms 4',24.03.2021
2932,https://akcern.am/en/property/3224,Code - 40133,For rent,700 USD,'Total area 124 m 2','Floor 3','Count of rooms 4',24.03.2021
2933,https://akcern.am/en/property/7858,Code - 33116,For sale,"400,000 USD",'Total area 95 m 2','Floor 4','Count of rooms 3',24.03.2021
2934,https://akcern.am/en/property/2265,Code - 40115,For rent,"1,000 USD",'Total area 114 m 2','Floor 3','Count of rooms 4',24.03.2021
2935,https://akcern.am/en/property/10160,Code - 459154,For sale,"135,000 USD",'Total area 102 m 2','Floor 9','Count of rooms 4',24.03.2021
2936,https://akcern.am/en/property/11648,Code - 40138,For rent,"1,300 USD",'Total area 99 m 2','Floor 2','Count of rooms 4',24.03.2021
2937,https://akcern.am/en/property/2103,Code - 80093,For rent,650 USD,'Total area 153 m 2','Floor ','Count of rooms 4',24.03.2021
2938,https://akcern.am/en/property/5735,Code - 32542,For sale,"122,000 USD",'Total area 89 m 2','Floor 4','Count of rooms 3',24.03.2021
2939,https://akcern.am/en/property/810,Code - 30641,For sale,"110,000 USD",'Total area 96 m 2','Floor ','Count of rooms 3',24.03.2021
2940,https://akcern.am/en/property/2162,Code - 30397,For rent,"1,300 USD",'Total area 95 m 2','Floor 4','Count of rooms 3',24.03.2021
2941,https://akcern.am/en/property/2518,Code - 40726,For sale,"600,000 USD",'Total area 200 m 2','Floor 6','Count of rooms 4',24.03.2021
2942,https://akcern.am/en/property/2519,Code - 40120,For rent,"3,000 USD",'Total area 200 m 2','Floor 6','Count of rooms 4',24.03.2021
2943,https://akcern.am/en/property/15213,Code - 30990,For rent,500 USD,'Total area 89 m 2','Floor 4','Count of rooms 3',24.03.2021
2944,https://akcern.am/en/property/11643,Code - 20802,For rent,350 USD,'Total area 77 m 2','Floor 4','Count of rooms 2',24.03.2021
2945,https://akcern.am/en/property/13773,Code - 20500,For rent,350 USD,'Total area 67 m 2','Floor 6','Count of rooms 2',24.03.2021
2946,https://akcern.am/en/property/11641,Code - 30958,For rent,"1,500 USD",'Total area 190 m 2','Floor 2','Count of rooms 3',24.03.2021
2947,https://akcern.am/en/property/14334,Code - 40111,For rent,"1,600 USD",'Total area 180 m 2','Floor 7','Count of rooms 4',24.03.2021
2948,https://akcern.am/en/property/11639,Code - 20982,For rent,400 USD,'Total area 66 m 2','Floor 1','Count of rooms 2',24.03.2021
2949,https://akcern.am/en/property/14965,Code - 20985,For rent,700 USD,'Total area 64 m 2','Floor 5','Count of rooms 2',24.03.2021
2950,https://akcern.am/en/property/6590,Code - 22594,For sale,"55,000 USD",'Total area 54 m 2','Floor 5','Count of rooms 2',24.03.2021
2951,https://akcern.am/en/property/13361,Code - 20769,For rent,400 USD,'Total area 66 m 2','Floor 2','Count of rooms 2',24.03.2021
2952,https://akcern.am/en/property/15330,Code - 20194,For rent,700 USD,'Total area 58 m 2','Floor 2','Count of rooms 2',24.03.2021
2953,https://akcern.am/en/property/11633,Code - 359989,For rent,500 USD,'Total area 77 m 2','Floor 3','Count of rooms 3',24.03.2021
2954,https://akcern.am/en/property/11634,Code - 359990,For sale,"115,000 USD",'Total area 101 m 2','Floor 3','Count of rooms 3',23.03.2021
2955,https://akcern.am/en/property/10153,Code - 159143,For rent,400 USD,'Total area 38 m 2','Floor 7','Count of rooms 1',23.03.2021
2956,https://akcern.am/en/property/7776,Code - 40161,For rent,"3,000 USD",'Total area 221 m 2','Floor 5','Count of rooms 4',23.03.2021
2957,https://akcern.am/en/property/2407,Code - 40117,For rent,"2,000 USD",'Total area 180 m 2','Floor 3','Count of rooms 4',23.03.2021
2958,https://akcern.am/en/property/2239,Code - 80066,For rent,"1,500 USD",'Total area 172 m 2','Floor ','Count of rooms 6',23.03.2021
2959,https://akcern.am/en/property/2238,Code - 40114,For rent,"1,500 USD",'Total area 168 m 2','Floor 8','Count of rooms 4',23.03.2021
2960,https://akcern.am/en/property/640,Code - 40106,For rent,"2,700 USD",'Total area 160 m 2','Floor 7','Count of rooms 4',23.03.2021
2961,https://akcern.am/en/property/475,Code - 40096,For rent,"2,500 USD",'Total area 150 m 2','Floor 8','Count of rooms 4',23.03.2021
2962,https://akcern.am/en/property/4703,Code - 40148,For rent,"2,500 USD",'Total area 144 m 2','Floor 2','Count of rooms 4',23.03.2021
2963,https://akcern.am/en/property/97,Code - 80052,For rent,"1,200 USD",'Total area 142 m 2','Floor 3','Count of rooms 5',23.03.2021
2964,https://akcern.am/en/property/1656,Code - 30683,For rent,"1,400 USD",'Total area 118 m 2','Floor 11','Count of rooms 3',23.03.2021
2965,https://akcern.am/en/property/22,Code - 30344,For rent,800 USD,'Total area 106 m 2','Floor 3','Count of rooms 3',23.03.2021
2966,https://akcern.am/en/property/11626,Code - 30834,For rent,450 USD,'Total area 104 m 2','Floor 5','Count of rooms 3',23.03.2021
